32	1	179083
32	0.1	47279
32	0.01	44891
32	0.001	43205
32	0.0001	43140
32	1e-05	43236
38	1	147502
38	0.1	147280
38	0.01	147072
38	0.001	147261
38	0.0001	147127
38	1e-05	147316
45	1	147020
45	0.1	147226
45	0.01	146979
45	0.001	147251
45	0.0001	147390
45	1e-05	147224
53	1	147062
53	0.1	147234
53	0.01	147034
53	0.001	147292
53	0.0001	147011
53	1e-05	147199
64	1	147059
64	0.1	147235
64	0.01	147098
64	0.001	147328
64	0.0001	147085
64	1e-05	147258
76	1	289895
76	0.1	289603
76	0.01	289676
76	0.001	289626
76	0.0001	289757
76	1e-05	289611
90	1	289697
90	0.1	289796
90	0.01	289644
90	0.001	289610
90	0.0001	289665
90	1e-05	289576
107	1	289755
107	0.1	289659
107	0.01	289777
107	0.001	289675
107	0.0001	289832
107	1e-05	289635
128	1	289680
128	0.1	289585
128	0.01	289649
128	0.001	289605
128	0.0001	289641
128	1e-05	289588
152	1	575204
152	0.1	575053
152	0.01	574980
152	0.001	574535
152	0.0001	574813
152	1e-05	574583
181	1	574808
181	0.1	574632
181	0.01	574870
181	0.001	574898
181	0.0001	574918
181	1e-05	574604
215	1	574871
215	0.1	574664
215	0.01	574858
215	0.001	574519
215	0.0001	574908
215	1e-05	574512
256	1	574838
256	0.1	574837
256	0.01	574897
256	0.001	574637
256	0.0001	574851
256	1e-05	574530
304	1	1149379
304	0.1	1149292
304	0.01	1149178
304	0.001	1149174
304	0.0001	1149586
304	1e-05	1149289
362	1	1149296
362	0.1	1149264
362	0.01	1149416
362	0.001	1149304
362	0.0001	1149145
362	1e-05	1149218
430	1	1149530
430	0.1	1148754
430	0.01	1148710
430	0.001	1148615
430	0.0001	1148657
430	1e-05	1148563
512	1	1148908
512	0.1	1148657
512	0.01	1148729
512	0.001	1148509
512	0.0001	1148760
512	1e-05	1149067
